tree,Name,Type,rank,Effect
Channeler,Channeling,Abillity,,"<em>When you gain this Talent, select 2 Power Skills from the list below to be your Channeler Foci.  When you use this ability, prepare Powers that draw from these Skills:
<br> - Inferno, Lux, Nox, Rime, Squall, Tellus, Tempest, Torrent
</em>
<br>
<br>
Endure to draw the forces to your will.  Gain Hits + Steady Power ranks to prepare your Powers.
<br>You Powers gain the following characteristics:
<br>- <b>Threshold:</b> 4
<br>- <b>Backlash:</b> <em>Recoil</em> - If a Power results in Hits less than Threshold, all targets within your Current Zone sustain Hits from the Power's effect equal to the total amount below Threshold.
<br>
<br>You can use this abiility without using an Action at the beginning of each Waypoint.  If you use it during a Waypoint, it requires 3 - Steady Actions (minimum 1 action)."
Confessor,,Ability,,"<br> - Inferno, Lux, Nox, Rime, Squall, Tellus, Tempest, Torrent"
Corsair,,Ability,,</em>
Courtier,,Ability,,
Defender,Defensive Stance,Ability,1,Endure to draw the forces to your will.  Gain Hits + Steady Power ranks to prepare your Powers.
Defender,Harm's Way,Ability,1,<br>You Powers gain the following characteristics:
Defender,Indomitable Presence,Ability,2,<br>- <b>Threshold:</b> 4
Defender,Focus (2),Static,1,"<br>- <b>Backlash:</b> <em>Recoil</em> - If a Power results in Hits less than Threshold, all targets within your Current Zone sustain Hits from the Power's effect equal to the total amount below Threshold."
Detective,Investigate (2),Static,1,<br>
Diabolist,Dance with devils,Ability,1,"<br>You can use this abiility without using an Action at the beginning of each Waypoint.  If you use it during a Waypoint, it requires 5 - Steady Actions (minimum 1 action)."
Diplomat,Browbeat,Ability,2,"Intimidate your target outside of combat, adding +2 Hits to the result set."
Diplomat,It's all a facade,Ability,2,"Deceive opponents in your Current Zone, masking your true intentions."
Diplomat,Persuade (2),Ability,1,Increase your Persuade rating to 2 (d8)
Diplomat,Deceive (2),Ability,1,Increase your Deceive rating to 2 (d8)
Diplomat,Unflappable,Ability,2,"When you Recover to regain Nerve, regain and additional +1d4 Bonus Hits."
Diplomat,Persuade (3),Ability,3,Increase your Persuade rating to 3 (d10)
Diplomat,Deceive (3),Ability,3,Increase your Deceive rating to 3 (d10)
Diplomat,Silver Tongue,Ability,,"Persuade your target, adding +2 Hits to the result set."
Dragoon,,Ability,,
Driver,,Ability,,
Druid,Animism,Static,,
Druid,Harmonize with nature,Ability,,
Duelist,Quick Draw,Static,1,You can draw or change weapons without using a Shift.
Duelist,Riposte,Trigger,2,Counterattack an enemy Strike that just scored 0 Hits.  Deal 1d4 bonus Hits.
Elementalist,Shape the elements,Ability,,
Engineer,,Ability,,
Fury,,Ability,,
Grandmaster,,Ability,,
Healer,Healing Hands,Trigger,2,
Healer,Embrace the cycle,Ability,1,"<em>When you gain this Talent, increase you Vivus Skill rating to 2 (d8).</em>

<br>Use your Composure to let the cylce of life and death flow through you.  Gain Hits + Steady Power ranks to prepare your Powers.
<br>You Powers gain the following characteristics:
<br>- <b>Threshold:</b> 3
<br>- <b>Backlash:</b><em>Drain</em> - If a Power results in Hits less than Threshold, you suffer a number of Hits equal to the total amount below Threshold as the cyle extracts its toll on you.
<br>
<br>You can use this abiility without using an Action at the beginning of each Waypoint.  If you use it during a Waypoint, it requires 4 - Savvy Actions (minimum 1 action)."
Hunter,,Ability,,
Infiltrator,,Ability,,
Juggernaut,,Ability,,
Knight,,Ability,,
Lich,,Ability,,
Mage,Grasp the arcane,Ability,,
Mageknight,,Ability,,
Magic-User,Study the arcane,Ability,1,"<em>When you gain this Talent, increase you rating in any 2 Power Skills from the list below:
<br> - Aether, Arithm, Inferno, Lux, Mori, Nihil, Nox, Rime, Squall, Tellus, Tempest, Torrent
</em>
<br>
<br>
Research to memorize spells.  Gain Hits + Savvy Power ranks to prepare your Powers.
<br>You Powers gain the following characteristics:
<br>- <b>Threshold:</b> 4
<br>- <b>Backlash:</b> <em>Spellburn</em> - If a Power results in Hits greater than Threshold, you suffer a number of Hits equal to the total amount above Threshold.  Your target(s) sustain Spellburn Hits as well, in addition to the Power's effect.
<br>
<br>You can use this abiility without using an Action at the beginning of each Waypoint.  If you use it during a Waypoint, it requires 6 - Savvy Actions (minimum 1 action)."
Marksman,Aim,Ability,1,"Use a Shift to aim carefully, then immediately Shoot your target at -1d Challenge.  Add +1d4 bonus Hits to the result set (bonus Hits do not count 1s against Initiative)."
Marksman,Controlled Pair,Trigger,2,"When you Shoot a target with no 1s in the result set, you may immediately make a second Shoot attempt."
Marksman,Double Tap,Ability,2,Shoot your target at +2d Challenge.
Marksman,Shoot (2),Static,1,Increase your Shoot rating to 2 (d8).
Marksman,Shoot (3),Static,2,Increase your Shoot rating to 3 (d10).
Marksman,Shooter,Trigger,1,"When you Shoot your target but earn 0 Hits, add +2 Hits to the result set."
Martial Artist,Float like a butterfly. . .,Ability,1,"Until the beginning of your next turn, use Reflexes +1d4 as as your Primary Defense."
Martial Artist,Living Weapon,Trigger,1,"When you use your Martial Arts against your target but earn 0 Hits, add +2 Hits to the result set."
Medic,First Aid,Ability,1,Administer basic care to an inj
Mesmer,,Ability,,
Necromancer,Stir the dead,Ability,1,
Overseer,Coordinated Assault,Ability,2,"Lead your Minions to launch a coordinated attack against a single target, dealing Hits +1d4 bonus Hits to the result set."
Overseer,Minions,Ability,1,
Paragon,,Ability,,
Pilot,,Ability,,
Priest,Invoke the divine,Ability,1,Composure
Probabilist,Derive axioms,Ability,1,Analyze
Psion,Hone the mind,Ability,1,Focus
Pugilist,,Ability,,
Raindancer,,Ability,,
Ranger,Shoot (3),Static,1,Increase your Shoot rating to 3 (d10).
Ranger,Skirmisher,Trigger,1,"When you Shift to move within your current Zone and attack a target, you may spend 1 Hit to Shift again this turn."
Ranger,Skirmisher,Trigger,1,"When you Shift to move within your current Zone and attack a target, you may spend 1 Hit to Shift again this turn."
Reaver,,Ability,,
Samurai,,Ability,,
Scholar,Knowledge is Power,Ability,2,Research to gain critical information about the current situation.  Increase the current Timer by Hits - 2 and decrease the Challenge by -1d.
Scholar,Linguistic Aptitude,Ability,1,Use Linguistics to speak or decipher any language.  Create +Hits Advantages you can spend on Persuade or Invesitgate.
Scholar,Analytical Mind,Ability,1,"Analyze your surroundings, gaining insights into potential wekness or hidden detail.  Create Hits +2 Advantages in your current Zone.  Allies can use these Advantages if you are able to communicate with them."
Scoundrel,Forked Tongue,Ability,1,"Deceive your target, adding +2 Hits to the result set."
Scoundrel,It's all a facade,Ability,1,"Deceive opponents in your Current Zone, masking your true intentions."
Scout,,Ability,,
Scrapper,Cleave,Trigger,2,"When you Strike your target to death, apply Hits -2 to another target in your current Zone."
Scrapper,Fighter,Trigger,1,"When you Strike your target but earn 0 Hits, add +2 Hits to the result set."
Scrapper,Float like a butterfly. . .,Ability,1,"Until the beginning of your next turn, use Reflexes +1d4 as as your Primary Defense."
Seer,Peer through depths,Ability,,Perceive
Shaman,Invoke the spirits,Ability,,
Shaman,Shamanism,Static,,
Shifter,Primal Form,Ability,1,
Shinobi,,Ability,,
Shock Trooper,,Ability,,
Shugenja,Commune with spirits,Ability,,Persuade the spirits within.  Gain Hits + Savvy Power ranks.
Shugenja,Shugendo,Static,,
Skald,,Ability,,
Sniper,Overwatch,Trigger,,"When one or more hostile targets moves into your current Zone, you may deal 1d4 bonus Hits to one of them."
Sniper,Zero in,Trigger,,"When you Aim, add +1d4 bonus Hits to the result set."
Soldier,Aim,Ability,2,"Use a Shift to aim carefully, then immediately Shoot your target at -1d Challenge.  Add +1d4 bonus Hits to the result set (bonus Hits do not count 1s against Initiative)."
Soldier,Charge,Ability,1,"Use a Shift to move into an adjacent Zone, then immediately Strike your target, adding +2 Hits to the result set."
Soldier,Quick Draw,Static,1,You can draw or change weapons without using a Shift.
Soldier,Combat Training,Ability,1,You may Strike or Shoot at a target and use a Shift to use a non-combat skill.  Roll +2d Challenge.  Divide the Hits between the the two skills.
Soldier,Cover Fire,Ability,2,
Spellreaver,,Ability,,
Spy,It's all a facade,Ability,,"Deceive opponents in your Current Zone, masking your true intentions."
Spy,Master Eavesdropp,Ability,,Perceive a private conversation while Hidden to gather information.  Ignore 1s in the result set.
Summoner,,Ability,,
Swashbuckler,Quick Draw,Static,,You can draw or change weapons without using a Shift.
Swashbuckler,,Ability,,
Tactician,Fall Back,Ability,,"Lead allies in your current and all adjacent Zones in a tactical retreat, allowing a number of allies equal to Hits in the result set to immediately Shift away from hostile targets without risk."
Tactician,Inspire Allies,Ability,,"Lead all allies in your current Zone, allowing a number of them equal to the Hits in the result set to choose 1 of the following: Recover, Take -1d to their next Action, add 1 Hit to their next result set"
Tactician,Reposition,Ability,,"Lead allies in your current Zones, allowing a number of them equal to the Hits in the result set to immediately use a Shift."
Tank,Exert (2),Static,1,Increase your Exert rating to 2 (d8).
Tank,Endure (2),Static,1,Increase your Endure rating to 2 (d8).
Tank,Endure (3),Static,2,Increase your Endure rating to 3 (d10).
Tank,Hard to Kill,Static,2,Increase your Grit by 3.
Tank,I can take it,Trigger,1,"When you take more than 1 Hit from an effect, reduce the total Hits by 1."
Tank,Shake it off,Ability,2,Use a Shift to Recover.
Tank,Taunt,Ability,1,"Intimidate all hostile targets in your current Zone, +nd Challenge.  Until the beginning of your next turn, a number of hostiles equal to the Hits in your result set target only you."
Tank,Walk it off,Trigger,1,"When you Recover, regain +2 Defenses."
Thief,Implements (2),Static,1,Increase your Implements rating to 2 (d8).
Thief,Legerdemain (2),Static,1,Increase your Legerdemain rating to 2 (d8).
Thief,Stealth (2),Static,1,Increase your Stealth rating to 2 (d8).
Thrall,,Ability,,
Transmuter,Study the forms,Ability,1,
Traveler,,Ability,,
Troubadour,,Ability,,
Vanguard,,Ability,,
Warlord,,Ability,,
Witch,Incant the darkness,Ability,1,
Witch,Witchcraft,Static,,
Wrestler,Suplex,Ability,1,"Grapple your target, adding +1d4 bonus Hits and making them Prone."
Zealot,,Ability,,
Zenith,,Ability,,
