48,Heretic,Commune with Divinity,Ability,1,Divine Doctrine,"Maintain your Composure at Challenge 3 to align yourself with the divine. Gain Hits in <strong><em>Concordance</em></strong>.<br>Your Concordance measures how closely you are aligned with your Divine Doctrine.<br>You may use this Ability without using an Action at the beginning of each Waypoint.  If you use it during a Waypoint, it requires 8 - Steady Actions (minimum 1 Action).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Composure,,,,,,,,,,,,,,,,,,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'Composure', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",['Composure'],"['!power {{\n    --name|@{name} - Commune with Divinity\n    --Effect|Maintain your Composure at Challenge 3 to align yourself with the divine. Gain Hits in <strong><em>Concordance</em></strong>.<br>Your Concordance measures how closely you are aligned with your Divine Doctrine.<br>You may use this Ability without using an Action at the beginning of each Waypoint.  If you use it during a Waypoint, it requires 8 - Steady Actions (minimum 1 Action).\n    --Result Set|[[ [$talent|XPND] @{BAMF|challenge}d@{skill_composure}>4]]\n    --Hits|[^talent.ss]\n    --1s|[^talent.ones]\n    --format|abilitycheck\n    }}']"
49,Tactician,Inspire Allies,Ability,1,Leadd 2,"Lead all allies in your Current Zone, allowing a number of them equal to the Hits in the result set to immediately do 1 of the following:<ul><li>Recover</li><li>Reduce one Variable Status by -1</li><li>Add +1 Bonus Hits to their next result set</li></ul>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lead,,,,,,,,,,,,,,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'Lead', None, None, None, None, None, None, None, None, None, None, None, None, None, None]",['Lead'],"['!power {{\n    --name|@{name} - Inspire Allies\n    --Effect|Lead all allies in your Current Zone, allowing a number of them equal to the Hits in the result set to immediately do 1 of the following:<ul><li>Recover</li><li>Reduce one Variable Status by -1</li><li>Add +1 Bonus Hits to their next result set</li></ul>\n    --Result Set|[[ [$talent|XPND] @{BAMF|challenge}d@{skill_lead}>4]]\n    --Hits|[^talent.ss]\n    --1s|[^talent.ones]\n    --format|abilitycheck\n    }}']"
50,Tactician,Reposition,Ability,2,,"Use your Tactics allies in your current Zones, allowing X allies to immediately use a Shift, where X is equal to Hits in the result set.",,,,,,,,,,,,,,,,,,Tactics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'Tactics', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",['Tactics'],"['!power {{\n    --name|@{name} - Reposition\n    --Effect|Use your Tactics allies in your current Zones, allowing X allies to immediately use a Shift, where X is equal to Hits in the result set.\n    --Result Set|[[ [$talent|XPND] @{BAMF|challenge}d@{skill_tactics}>4]]\n    --Hits|[^talent.ss]\n    --1s|[^talent.ones]\n    --format|abilitycheck\n    }}']"
67,Heretic,Heterodoxy,Ability,3,Heterodox Practice,"Use a Shift to maintain your Composure, immediately gaining 1d4+1 Concordance.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Composure,,,,,,,,,,,,,,,,,,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'Composure', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",['Composure'],"['!power {{\n    --name|@{name} - Heterodoxy\n    --Effect|Use a Shift to maintain your Composure, immediately gaining 1d4+1 Concordance.\n    --Result Set|[[ [$talent|XPND] @{BAMF|challenge}d@{skill_composure}>4]]\n    --Hits|[^talent.ss]\n    --1s|[^talent.ones]\n    --format|abilitycheck\n    }}']"
68,Heretic,Profane Smite,Ability,2,,"Spend your Concordance to add Xd4 to your Strike, where X is equal to the amount of Concordance spent.",,,,,,,Strike,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[None, None, None, None, None, 'Strike', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",['Strike'],"['!power {{\n    --name|@{name} - Profane Smite\n    --Effect|Spend your Concordance to add Xd4 to your Strike, where X is equal to the amount of Concordance spent.\n    --Result Set|[[ [$talent|XPND] @{BAMF|challenge}d@{skill_strike}>4]]\n    --Hits|[^talent.ss]\n    --1s|[^talent.ones]\n    --format|abilitycheck\n    }}']"
72,Heretic,Profane Aura,Ability,3,,"Focus to gain an Aura X, where X is the number of Hits in the result set.<br>While the Aura persists, all Allies in your Current Zone regain Grit equal to your Heretic rank at the beginning of your turn.<br>All hostile targets in your Current Zone gain Fatigued 1.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Focus,,,,,,,,,,,,,,,,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'Focus', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",['Focus'],"['!power {{\n    --name|@{name} - Profane Aura\n    --Effect|Focus to gain an Aura X, where X is the number of Hits in the result set.<br>While the Aura persists, all Allies in your Current Zone regain Grit equal to your Heretic rank at the beginning of your turn.<br>All hostile targets in your Current Zone gain Fatigued 1.\n    --Result Set|[[ [$talent|XPND] @{BAMF|challenge}d@{skill_focus}>4]]\n    --Hits|[^talent.ss]\n    --1s|[^talent.ones]\n    --format|abilitycheck\n    }}']"
74,Heretic,Dark Revelation,Ability,3,Heretical Knowledge,"Once per Waypoint, use your Insight to uncover an unwanted truth.  If you score 3+ Hits, ask the BAMF one question about the game fiction.  Answers will vary depending on the amount of infromation you and your allies have discovered about the game fiction in question.",,,,,,,,,,,,,,Insight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[None, None, None, None, None, None, None, None, None, None, None, None, 'Insight', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",['Insight'],"['!power {{\n    --name|@{name} - Dark Revelation\n    --Effect|Once per Waypoint, use your Insight to uncover an unwanted truth.  If you score 3+ Hits, ask the BAMF one question about the game fiction.  Answers will vary depending on the amount of infromation you and your allies have discovered about the game fiction in question.\n    --Result Set|[[ [$talent|XPND] @{BAMF|challenge}d@{skill_insight}>4]]\n    --Hits|[^talent.ss]\n    --1s|[^talent.ones]\n    --format|abilitycheck\n    }}']"
75,Heretic,Defiant Healing,Ability,2,,You can spend 1 Concordance to call on the Vivus energy.  You and one ally in your Current Zone ragin Hits to your Grit or Primary Defenses.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vivus,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'Vivus']",['Vivus'],['!power {{\n    --name|@{name} - Defiant Healing\n    --Effect|You can spend 1 Concordance to call on the Vivus energy.  You and one ally in your Current Zone ragin Hits to your Grit or Primary Defenses.\n    --Result Set|[[ [$talent|XPND] @{BAMF|challenge}d@{skill_vivus}>4]]\n    --Hits|[^talent.ss]\n    --1s|[^talent.ones]\n    --format|abilitycheck\n    }}']
83,Berserker,Berkserker's Fury,Ability,2,Rage,"Decrease your Rage Aura by -2 and choose one (1):<ul><li>Strike or use your Martial Arts against one target in your Current Zone, adding +1d4 Bonus Hits to the restul set and your target gains Wounded 1.</li><li>Throw one target you have Grappled into an Adjacent Zone, ending the target's Grappled status.  The target and one other target in the Adjacent Zone take X Hits and become Prone, where X is equalt to Hits in the result set.</li><li>Intimidate hostile targets in your Current Zone.  Up to X targets gian Provoked and your recover X to your Primary Defense, where X is equal to Hits in the result set.</li></ul>",,,Grapple,Intimidate,Martial Arts,,Strike,Throw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[None, 'Grapple', 'Intimidate', 'Martial Arts', None, 'Strike', 'Throw', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","['Grapple', 'Intimidate', 'Martial Arts', 'Strike', 'Throw']","[""!power {{\n    --name|@{name} - Berkserker's Fury\n    --Effect|Decrease your Rage Aura by -2 and choose one (1):<ul><li>Strike or use your Martial Arts against one target in your Current Zone, adding +1d4 Bonus Hits to the restul set and your target gains Wounded 1.</li><li>Throw one target you have Grappled into an Adjacent Zone, ending the target's Grappled status.  The target and one other target in the Adjacent Zone take X Hits and become Prone, where X is equalt to Hits in the result set.</li><li>Intimidate hostile targets in your Current Zone.  Up to X targets gian Provoked and your recover X to your Primary Defense, where X is equal to Hits in the result set.</li></ul>\n    --Result Set|[[ [$talent|XPND] @{BAMF|challenge}d@{skill_grapple}>4]]\n    --Hits|[^talent.ss]\n    --1s|[^talent.ones]\n    --format|abilitycheck\n    }}"", ""!power {{\n    --name|@{name} - Berkserker's Fury\n    --Effect|Decrease your Rage Aura by -2 and choose one (1):<ul><li>Strike or use your Martial Arts against one target in your Current Zone, adding +1d4 Bonus Hits to the restul set and your target gains Wounded 1.</li><li>Throw one target you have Grappled into an Adjacent Zone, ending the target's Grappled status.  The target and one other target in the Adjacent Zone take X Hits and become Prone, where X is equalt to Hits in the result set.</li><li>Intimidate hostile targets in your Current Zone.  Up to X targets gian Provoked and your recover X to your Primary Defense, where X is equal to Hits in the result set.</li></ul>\n    --Result Set|[[ [$talent|XPND] @{BAMF|challenge}d@{skill_intimidate}>4]]\n    --Hits|[^talent.ss]\n    --1s|[^talent.ones]\n    --format|abilitycheck\n    }}"", ""!power {{\n    --name|@{name} - Berkserker's Fury\n    --Effect|Decrease your Rage Aura by -2 and choose one (1):<ul><li>Strike or use your Martial Arts against one target in your Current Zone, adding +1d4 Bonus Hits to the restul set and your target gains Wounded 1.</li><li>Throw one target you have Grappled into an Adjacent Zone, ending the target's Grappled status.  The target and one other target in the Adjacent Zone take X Hits and become Prone, where X is equalt to Hits in the result set.</li><li>Intimidate hostile targets in your Current Zone.  Up to X targets gian Provoked and your recover X to your Primary Defense, where X is equal to Hits in the result set.</li></ul>\n    --Result Set|[[ [$talent|XPND] @{BAMF|challenge}d@{skill_martial_arts}>4]]\n    --Hits|[^talent.ss]\n    --1s|[^talent.ones]\n    --format|abilitycheck\n    }}"", ""!power {{\n    --name|@{name} - Berkserker's Fury\n    --Effect|Decrease your Rage Aura by -2 and choose one (1):<ul><li>Strike or use your Martial Arts against one target in your Current Zone, adding +1d4 Bonus Hits to the restul set and your target gains Wounded 1.</li><li>Throw one target you have Grappled into an Adjacent Zone, ending the target's Grappled status.  The target and one other target in the Adjacent Zone take X Hits and become Prone, where X is equalt to Hits in the result set.</li><li>Intimidate hostile targets in your Current Zone.  Up to X targets gian Provoked and your recover X to your Primary Defense, where X is equal to Hits in the result set.</li></ul>\n    --Result Set|[[ [$talent|XPND] @{BAMF|challenge}d@{skill_strike}>4]]\n    --Hits|[^talent.ss]\n    --1s|[^talent.ones]\n    --format|abilitycheck\n    }}"", ""!power {{\n    --name|@{name} - Berkserker's Fury\n    --Effect|Decrease your Rage Aura by -2 and choose one (1):<ul><li>Strike or use your Martial Arts against one target in your Current Zone, adding +1d4 Bonus Hits to the restul set and your target gains Wounded 1.</li><li>Throw one target you have Grappled into an Adjacent Zone, ending the target's Grappled status.  The target and one other target in the Adjacent Zone take X Hits and become Prone, where X is equalt to Hits in the result set.</li><li>Intimidate hostile targets in your Current Zone.  Up to X targets gian Provoked and your recover X to your Primary Defense, where X is equal to Hits in the result set.</li></ul>\n    --Result Set|[[ [$talent|XPND] @{BAMF|challenge}d@{skill_throw}>4]]\n    --Hits|[^talent.ss]\n    --1s|[^talent.ones]\n    --format|abilitycheck\n    }}""]"
89,Black Belt,Flying Kick,Ability,1,,"Use a Shift to move into an adjacent Zone, then immediately Strike your target, adding +2 Hits to the result set.",,,,,,,Strike,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[None, None, None, None, None, 'Strike', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",['Strike'],"['!power {{\n    --name|@{name} - Flying Kick\n    --Effect|Use a Shift to move into an adjacent Zone, then immediately Strike your target, adding +2 Hits to the result set.\n    --Result Set|[[ [$talent|XPND] @{BAMF|challenge}d@{skill_strike}>4]]\n    --Hits|[^talent.ss]\n    --1s|[^talent.ones]\n    --format|abilitycheck\n    }}']"
96,Bounty Hunter,"I Can Bring You In Warm, Or I Can Bring You In Cold.",Ability,1,,"Intimidate a target in yout Current Zone that you are trying to apprehend, adding +1d4 Bonus Hits to the result set.",,,,Intimidate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[None, None, 'Intimidate', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",['Intimidate'],"['!power {{\n    --name|@{name} - I Can Bring You In Warm, Or I Can Bring You In Cold.\n    --Effect|Intimidate a target in yout Current Zone that you are trying to apprehend, adding +1d4 Bonus Hits to the result set.\n    --Result Set|[[ [$talent|XPND] @{BAMF|challenge}d@{skill_intimidate}>4]]\n    --Hits|[^talent.ss]\n    --1s|[^talent.ones]\n    --format|abilitycheck\n    }}']"
98,Bounty Hunter,Bolas,Ability,1,,"Use your Implements to ensnare one target in your Current or and Adjacent Zone.  The target gains Prone and Restrained X, where X is equal to Hits in the result set.",,,,,,,,,,,,,Implements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[None, None, None, None, None, None, None, None, None, None, None, 'Implements', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",['Implements'],"['!power {{\n    --name|@{name} - Bolas\n    --Effect|Use your Implements to ensnare one target in your Current or and Adjacent Zone.  The target gains Prone and Restrained X, where X is equal to Hits in the result set.\n    --Result Set|[[ [$talent|XPND] @{BAMF|challenge}d@{skill_implements}>4]]\n    --Hits|[^talent.ss]\n    --1s|[^talent.ones]\n    --format|abilitycheck\n    }}']"
99,Bounty Hunter,Manacles,Ability,2,,"Use your Implements to bind the hands of one target in your Current Zone.  On 2+ Hits, the target gains Restrained X, where X is 8+Hits in the result set.",,,,,,,,,,,,,Implements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[None, None, None, None, None, None, None, None, None, None, None, 'Implements', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",['Implements'],"['!power {{\n    --name|@{name} - Manacles\n    --Effect|Use your Implements to bind the hands of one target in your Current Zone.  On 2+ Hits, the target gains Restrained X, where X is 8+Hits in the result set.\n    --Result Set|[[ [$talent|XPND] @{BAMF|challenge}d@{skill_implements}>4]]\n    --Hits|[^talent.ss]\n    --1s|[^talent.ones]\n    --format|abilitycheck\n    }}']"
104,Bounty Hunter,Shrewd Contractor,Ability,2,,"Persuade, Intimidate, or use your Insight when discussing the terms of a bounty, addin +1d4 Bonus Hits to the result set.",,,,Intimidate,,,,,,,,,,Insight,,,,,,,,,,,,,,,,,,,,,Persuade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[None, None, 'Intimidate', None, None, None, None, None, None, None, None, None, 'Insight', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'Persuade', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","['Intimidate', 'Insight', 'Persuade']","['!power {{\n    --name|@{name} - Shrewd Contractor\n    --Effect|Persuade, Intimidate, or use your Insight when discussing the terms of a bounty, addin +1d4 Bonus Hits to the result set.\n    --Result Set|[[ [$talent|XPND] @{BAMF|challenge}d@{skill_intimidate}>4]]\n    --Hits|[^talent.ss]\n    --1s|[^talent.ones]\n    --format|abilitycheck\n    }}', '!power {{\n    --name|@{name} - Shrewd Contractor\n    --Effect|Persuade, Intimidate, or use your Insight when discussing the terms of a bounty, addin +1d4 Bonus Hits to the result set.\n    --Result Set|[[ [$talent|XPND] @{BAMF|challenge}d@{skill_insight}>4]]\n    --Hits|[^talent.ss]\n    --1s|[^talent.ones]\n    --format|abilitycheck\n    }}', '!power {{\n    --name|@{name} - Shrewd Contractor\n    --Effect|Persuade, Intimidate, or use your Insight when discussing the terms of a bounty, addin +1d4 Bonus Hits to the result set.\n    --Result Set|[[ [$talent|XPND] @{BAMF|challenge}d@{skill_persuade}>4]]\n    --Hits|[^talent.ss]\n    --1s|[^talent.ones]\n    --format|abilitycheck\n    }}']"
105,Bounty Hunter,Word on the Street,Ability,3,,"Use your Streetwise to gain valuable information or find the right person to talk to about you target.  On 3+ Hits, you gain +1 Favor to use in your hunt.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Streetwise,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'Streetwise', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",['Streetwise'],"['!power {{\n    --name|@{name} - Word on the Street\n    --Effect|Use your Streetwise to gain valuable information or find the right person to talk to about you target.  On 3+ Hits, you gain +1 Favor to use in your hunt.\n    --Result Set|[[ [$talent|XPND] @{BAMF|challenge}d@{skill_streetwise}>4]]\n    --Hits|[^talent.ss]\n    --1s|[^talent.ones]\n    --format|abilitycheck\n    }}']"
